1976-2006 CO2 CLIMATOLOGY 24  12  LON/LAT (N-S/0-360E) IN 15 DEGREE RESOLUTION,  GLB ANNUAL MEAN = 355.48  GROWTH RATE =  1.6  MISS DATA = -99.99
    .44   1.27   1.14    .28    .11   -.65   -.79   -.61   -.98  -1.28  -1.33   -.42   -.21   -.85  -1.09   -.38    .04   -.44   -.55  -1.31   -.90   -.62   -.17   1.03
   1.03    .81    .55    .44    .37    .39    .14   -.50   -.54   -.61   -.32    .50    .50   -.13   -.55   -.13    .22   -.07   -.45  -1.13   -.61    .02    .96    .98
    .87    .74    .58    .39    .51    .74    .61    .77    .99    .98    .96    .69    .65    .35    .16    .35    .58    .31   -.03    .01   -.40    .19    .96    .97
    .83    .89    .81    .73    .69    .76    .80    .80    .82    .81    .78    .68    .77    .80    .84    .93    .95    .98    .89    .84    .70    .87    .95    .89
    .90    .88    .99   1.00    .93    .73    .83    .97    .89    .85    .86    .75    .79    .89    .97    .97    .96    .88    .83    .84    .90    .92    .97    .97
    .97    .97    .97    .99   1.00    .98    .97    .97    .97    .97    .96    .97    .97    .97    .97    .97    .97    .97   1.00   1.03    .99    .97    .97    .97
    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97    .97
 MONTH = 12 CO2 (PPMV) MONTHLY DEVIATION,    GLOBAL MEAN =   1.43
   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29   3.29
   3.60   4.46   4.00   3.74   3.47   3.47   3.33   3.16   3.17   3.19   3.22   3.30   3.27   3.33   3.27   2.98   3.16   3.13   3.56   3.24   3.18   2.94   3.19   3.60
   4.63   7.38   5.52   4.30   2.60   2.17   1.41   2.99   3.51   4.03   3.29   3.37   3.26   3.21   2.82   2.33   2.02   3.41   3.31   2.66   2.79   2.56   2.71   3.98
   3.69   6.47   4.04   1.84   2.00   2.00   1.09   3.06   3.56   3.46   3.32   2.86    .87   1.35   1.63   2.19   1.85   2.52   2.43   1.67   2.35   1.99   1.74   3.26
   2.74   4.60   3.13   2.09   1.87   1.94    .99   1.84   1.79   1.53   1.00    .50    .57    .04    .58   1.88   1.85   1.06    .83    .80   1.14   1.22   1.25   1.61
   1.71   2.46   1.63   1.36   1.17   1.29    .56    .51    .19   -.18   -.02    .50    .55    .03    .11    .86   1.47    .96    .86    .41    .77    .84   1.06   1.17
   1.17   1.02    .84    .84    .76    .48    .48    .19    .24    .19    .43    .85    .85    .47    .31    .69   1.15    .87    .92    .51    .81    .77    .85    .96
    .72    .71    .76    .77    .78    .73    .51    .80    .98    .98   1.00    .86    .97    .77    .66    .86   1.08    .92    .86    .53    .82    .70    .78    .79
    .73    .76    .75    .74    .81    .80    .74    .73    .66    .65    .63    .68    .80    .82    .86    .99    .98    .99    .66    .60    .64    .70    .80    .75
    .80    .77    .82    .82    .88    .84    .84    .83    .73    .66    .67    .61    .81    .85    .85    .85    .92    .73    .60    .60    .68    .75    .85    .85
    .85    .83    .82    .84    .90    .87    .84    .83    .84    .85    .80    .85    .85    .85    .85    .85    .85    .85    .80    .75    .75    .81    .85    .85
    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85    .85
